"position"	"Aldi.1apos_1.C.7_01_3592"	"Aldi.1bpos_1.C.7_01_3607"	"Blut.1apos_1.C.8_01_3593"	"Tatort.1bpos_1.C.8_01_3608"	"Heinz.1apos_1.C.1_01_3586"	"Heinz.1bpos_1.C.1_01_3601"	"Knorr.1apos_1.C.2_01_3587"	"Knorr.1bpos_1.C.2_01_3602"	"Kraft.1apos_1.C.5_01_3590"	"Kraft.1bpos_1.C.5_01_3605"	"Penny.1apos_1.C.4_01_3589"	"Penny.1bpos_1.C.4_01_3604"	"Purree.1apos_1.C.3_01_3588"	"Purree.1bpos_1.C.3_01_3603"	"Werder.1apos_1.C.6_01_3591"	"Werder.1bpos_1.C.6_01_3606"
"pos_476"	2516.3507368421	1901.03532631579	196.463747368422	227.39964	2019.4296	0	2356.07556000002	1584.94851428572	0	1815.2712	0	0	0	0	2383.88770909091	1387.39607999999
"pos_477"	1419.186	0	0	0	1212.28617931035	1584.98217142857	892.265399999998	0	1953.3756	0	0	0	2688.79941818181	2599.506	1303.4988	1889.5032
"pos_478"	2471.9686153846	2009.57800000001	0	1811.25186206896	2017.33333333335	1888.6608	1853.23015384614	1698.9876	1766.33052631575	1879.01600000001	1977.885	0	1336.18079999998	2297.3593846154	0	2169.12077419355
"pos_479"	1583.54964705881	1447.86559999998	1384.51950000002	1215.79920000004	1443.33828571426	1809.69750000002	1658.79600000002	1563.79377777779	1874.36463157894	1761.98400000002	1771.90729411767	1636.09846153846	0	1252.54588235293	1445.06699999999	1989.81028571428
"pos_480"	0	0	72.6537599999997	51.1267200000001	2797.16976000001	2561.71776	1778.67168	1838.002176	3346.10928	3371.91321600002	0	0	0	0	0	0
"pos_482"	0	0	355.2	265.0832	0	0	0	0	0	0	746.646545454545	1872.87272727273	1185.34545454545	1027.962	2355.9705	2478.32727272727
"pos_483"	0	0	573.176914285715	557.111519999997	1215.2832	1104.54994285712	1039.15611428571	944.45074285715	1146.54857142856	1017.36000000001	0	0	0	0	0	0
"pos_484"	0	1124.49599999999	1460.24307692308	1423.70317241379	1038.45028571429	1283.85952941176	0	0	673.090909090909	0	816.81268965517	865.156499999992	0	0	1399.75680000001	0
"pos_485"	2024.0832	2047.72647272728	0	0	0	1937.08800000003	1292.7372	0	1117.77054545455	1126.58230588234	1815.07949999998	1996.61370810811	0	0	0	0
"pos_486"	0	0	14558.629090909	12587.0825454545	9408.19199999996	8957.01423157899	15822.1578240003	15349.1663000003	13908.2400000003	15388.242857143	9922.81666666675	11534.1850434782	0	0	0	0
"pos_487"	7880.97547826084	6442.73280000001	6713.27092173918	8727.33600000009	9849.25963636377	0	0	11463.2496000001	0	0	0	14629.7111039999	690.199527272719	757.553217391312	6503.45342608689	4513.02573913041
"pos_488"	0	13615.6320000001	6197.76000000002	3994.98313043476	7330.6393043479	0	0	0	0	0	0	0	2670.65509090906	2840.92873043478	7691.25078260877	6799.5005454545
"pos_492"	28941.705	26168.74264	0	0	33596.9976774193	24003.8865066667	34712.9689411765	25589.2317325714	25522.6810434783	21447.928395	28225.14639	23392.2581321739	37881.4196869565	27908.2489569231	20740.5422608696	18993.5340553846
"pos_494"	8817.98400000013	9124.5339999999	1159.61684210528	1516.18863157896	6288.57599999997	7414.88571428577	8825.568	8516.4612	11070.1008000001	12778.8325714287	9167.94868965525	7014.61279999991	4867.41599999998	5241.14526315798	0	0
"pos_496"	94.2000000000007	0	212.622857142859	173.376000000002	2747.94857142859	2281.77818181818	3393.60319999996	3341.63368421046	1309.05600000001	1203.91999999999	285.291428571424	223.388571428568	3540.5664	3040.61400000001	94.2000000000007	366.03428571428
"pos_498"	7523.59366153844	6630.94539130434	0	0	6538.83840000001	8164.81524705882	7689.90521739133	8029.67272727272	7066.07702068967	6181.27804444444	6405.6	0	0	6152.14836000002	8807.77392000002	6428.79899999998
"pos_499"	0	7990.34245714285	0	0	5665.1290909091	5964.33552000001	6867.76486956521	8933.62808571428	4923.13222857142	0	4726.92748235295	0	0	6440.88495737705	7558.96088275859	7122.19466666665
"pos_501"	5271.77585454545	5800.02857142858	0	0	14226.1384421053	15151.5376941177	0	0	21173.3619199999	21247.8134999999	9901.05059999998	10009.4228571428	10918.4154352942	11748.906	15869.3324571428	16382.8614857143
"pos_502"	27122.688	25774.2018	0	0	42426.9238153846	39739.9707692308	5066.61428571426	0	44417.4888960001	40388.5262769231	0	12864.6141473684	22605.271968	18115.3632	36284.0925999999	31882.8916799999
"pos_503"	0	0	189.7296	368.694399999999	3027.375	3625.06523076923	0	1939.7784	8837.48044800001	7368.50559999998	3961.44639999999	4249.48680000003	5692.54784000002	6258.38559999998	6776.98127999996	5236.09581176471
"pos_504"	25033.3261714286	27098.803862069	0	0	23122.0696363637	20700.2709818181	25128.2912000001	22594.8370909091	32174.3713636363	18924.8410909091	0	25217.361	0	26016.6942857143	0	25649.2220869565
"pos_507"	0	35007.0027692311	0	0	0	0	55062.6206896545	73953.4832727274	35740.1253333332	32522.8069565223	48417.3100000003	40948.4652631585	0	69183.2215384613	281279.481056604	240314.21217391
"pos_509"	33478.6716631579	35481.9436800002	1982.06880000003	2593.97404444444	9206.59520000002	13195.0667999999	26273.3978571428	15437.7	21938.5586666668	25040.5788444441	22049.5872000001	29550.318933333	978083.509309085	819426.342782617	21931.9879578946	459747.101781813
"pos_512"	693.00048	932.415507692307	12.1096	63.2374153846153	2502.55028571429	2638.219584	2582.42571428571	2366.65911428571	3420.23470344828	3523.76868292683	1201.0944	1671.08233846154	1462.2324	1267.5552	0	1909.24422857143
"pos_514"	11392.7169230769	13093.661	411.74136	0	1107.47944615385	0	0	0	0	0	12902.4650666666	13600.51824	4587.83220000001	3943.1288888889	6739.93617391304	5966.22693333333
"pos_516"	2385.0396	1956.7932	79.3928842105258	52.4768399999998	15175.2408	15767.8660799999	0	0	0	0	19549.6412400002	0	0	0	18668.6856000001	0
"pos_518"	0	0	49.7743304347826	117.073252173913	889.418608695655	795.271090909092	262.399090909091	212.566330434783	1315.81898181818	1430.33582608696	0	0	0	0	0	0
"pos_519"	1392.81428571429	2041.2752	0	0	1225.76062222222	1099.13269787234	2085.62232558139	1981.74741818182	0	2465.1392	2677.92088888888	1215.51024000001	0	0	2237.15436521739	2920.14488888889
"pos_520"	6560.7941818181	6363.22800000004	5255.99400000003	6444.94050000009	6105.04258064506	5558.14285714284	5482.91858823523	3359.13942857152	6209.83131428553	3221.15519999994	4697.72047058837	6632.62800000004	5869.82981818174	5891.86618181827	5842.17051428577	7153.91700000004
"pos_521"	4028.81142857142	4458.97482352939	0	3961.73647058822	3975.52727272733	4328.43154285718	0	4436.32960000002	4248.43799999985	4222.03079999996	4746.57014634148	4590.32663414635	4504.06399999994	0	3113.71854545454	4592.57039999998
"pos_523"	7135.19747368426	9311.81100000006	5978.54057142844	5403.43950000001	8144.75927272733	5270.24640000014	8516.80182857134	8847.60123076924	9440.45419354844	9539.16070588231	9086.03384615386	8780.50036363643	9747.7094634145	9456.93266666683	5448.61500000015	8812.82618181825
"pos_524"	1397.97450000002	2698.52914285725	2631.93381818186	2667.08307692314	2498.86451612905	2724.75733333333	2531.73333333331	2055.01333333339	2925.89419354834	2780.00711111111	2601.57599999998	2863.01333333331	2832.25569230766	1807.67399999997	3352.10861538467	2529.44063999997
"pos_525"	1589.06666666671	1932.46666666665	2144.85818181814	2324.31428571431	1518.06899999998	1579.00363636365	1952.27999999993	2294.96280000002	2021.14285714281	2521.80719999999	2263.29839999991	2435.63759999999	2210.78879999999	2216.17439999992	1841.72181818184	1863.25942857142
"pos_526"	2062.94742857141	2581.67314285713	1625.10479999999	2572.43364705886	2280.31709090911	1979.83058823531	2433.83127272726	2436.72300000002	2139.18967741937	2274.92945454547	2231.97900000001	2367.57394285712	2407.22646153851	2401.38635294124	2502.72600000001	2062.25700000001
"pos_527"	4045.33161290316	0	4180.54023529407	1974.99520000005	4027.32993103446	4586.99011764704	3617.77679999998	2275.80685714292	4149.37599999992	4377.41131034484	2668.81515789472	4220.77760000002	2485.58399999995	3941.91634285718	4248.68061538462	3880.98580645155
"pos_531"	4176.00000000002	3756.06582857146	4088.48000000007	4363.70823529424	2785.59599999996	3990.1733333334	2519.26399999995	2442.1335	2062.913142857	4339.29046153847	3927.44880000007	4431.74287500001	2383.6011428572	5120.70720000002	4663.02063157892	2809.07428571426
"pos_532"	1001.56399999997	1835.37685714293	0	0	1302.54899999998	2256.55999999996	0	2686.75200000002	2735.04000000001	2057.28545454548	1834.98742857148	1995.0503225807	0	0	0	0
"pos_533"	2920.96882758622	1847.11090909087	1775.04184615383	0	0	2819.68960000001	0	1190.59200000003	2652.63679999995	2011.83339130433	3362.6266666667	0	2799.06600000005	1574.87679999997	1435.01142857147	0
"pos_534"	1705.07858823527	0	1883.79031578946	0	0	0	0	2310.84000000006	2303.20615384615	1643.572173913	2390.51538461542	2232.94338461536	2612.53333333338	1985.30111999997	2527.69333333337	0
"pos_536"	35602.5569999995	33965.9520000002	36740.7174193558	35058.1935483873	33757.3088372089	34175.1243636359	35554.0650000002	35176.9049999995	33478.3380000002	35860.9206486486	36523.1604705878	35148.6180000002	36071.5723636359	34543.8150000002	37445.4196363631	34402.4610909089
"pos_538"	0	3817.80000000006	3243.57599999995	0	3144.46666666672	3394.17257142858	3361.26400000001	3138.16114285722	3205.83466666659	3258.08228571429	3508.06666666672	3169.71870967751	3441.27840000005	2951.89333333331	3761.24000000004	3553.06943999995
"pos_543"	5142.64475675681	4903.89020689664	4887.73241379307	2938.3815	3341.46917647055	5222.37333333342	5348.22951724135	4531.13550000006	2755.84200000002	4172.16960000003	4681.36984615392	2930.65714285708	4823.79428571429	3328.21200000002	4531.21285714282	3149.75360000008
"pos_544"	4845.15899999993	7613.01351724151	7572.61903448271	3137.64218181825	7547.5328571428	0	7314.57599999995	6981.88133333345	6914.39668965503	7778.70514285716	8036.66160000015	5475.29880000005	3997.14240000011	6988.49875862071	7609.47514285709	7582.4999999999
"pos_545"	2407.24223999999	2661.99641379315	0	2021	0	1637.67138461541	2188.17857142856	0	2799.71089655167	2579.88800000001	2143.89333333337	0	0	1262.26121739132	2520.48104347825	0
"pos_546"	4363.95062068973	3485.8296000001	4595.67558620691	4769.47862068967	4281.32520000004	4209.7826086957	3737.28914285713	3692.48452173918	4619.92717241381	4660.61999999993	4789.50528000007	4659.27300000006	3887.09568000006	4526.04671999999	4083.15234782614	4309.4605714287
"pos_548"	3968.544	4040.92547368418	4188.1333333334	0	2064.26057142862	4046.02751999995	3591.55999999997	4150.39058823536	3869.63379310344	3570.28523076928	2809.47388235302	4135.39199999997	3446.97300000005	4115.89270588247	0	3436.45028571426
"pos_549"	8649.48923076922	9035.47476923091	0	10776.1854545456	9784.88000000016	9173.49333333348	0	9205.81333333348	9064.85866666648	9294.2668	9038.82666666681	0	9181.3782857143	9679.4915555558	8728.47599999994	10671.5785714285
"pos_550"	3332.19085714278	2412.03200000014	0	0	4552.86000000006	4630.20088888889	4544.77799999993	4595.63076923076	4644.14254545448	4440.14191304353	0	4408.74545454545	5467.86580645164	5142.00959999999	4571.98628571442	4155.98400000012
"pos_551"	2839.03200000001	0	0	0	3025.36199999996	0	3047.54086956513	2089.86171428573	2286.38565517242	2676.88640000001	2414.05773913046	0	2485.2434285715	0	0	0
"pos_552"	0	3715.5776000001	0	3966.48165517252	3967.29913043471	4350.06461538468	4502.66086956509	3086.19870967744	0	3305.92547368421	4001.41270588231	3927.50208	0	3439.98514285707	4458.89828571442	0
"pos_553"	3278.71080000003	0	0	0	1583.10981818172	3622.08500000003	0	3495.94666666672	3443.44320000001	1689.45818181818	5077.4830188679	3415.02260869566	3986.93544827593	3886.2748235294	2357.24999999996	0
"pos_554"	9065.92615384614	8576.22646153859	11038.5656470589	8975.63076923076	10356.4800000001	8319.07200000011	8362.79999999992	8977.95345454559	8740.63359999984	8774.35800000005	9607.12000000015	8851.64000000014	10100.7692307694	8860.69028571451	10040.1566896552	8893.25264516122
"pos_555"	7318.959652174	6001.58842105263	0	6565.66231578955	7520.9779199999	5709.13878260877	7335.10847999991	6059.70560000002	8456.11010526316	6979.40872727269	7204.4611200001	6234.64914285713	6381.42171428573	6831.89524528295	6863.96000000011	6397.54971428591
"pos_556"	16088.77152	0	0	0	10276.8670702703	0	10426.6452	0	9871.06643478264	0	20804.8632000001	0	21541.83984	21887.2484999999	0	3453.4938666667
"pos_557"	74204.4575999999	74651.024516129	0	0	86114.6255200002	94371.3584432434	77642.8260413792	70447.7984249999	64407.699490909	64115.3449499998	0	0	78358.4256000001	82797.3936666667	0	0
"pos_559"	11034.9803478261	11400.4215	0	0	5489.23199999997	7459.45199999998	9917.19902608691	9818.76646956515	0	0	6273.00072	7815.988224	0	0	0	8198.06846896551
"pos_561"	0	0	1409.90933333334	1306.05973333333	0	0	0	0	0	0	8355.31452631583	7438.34800000004	7956.03486315786	7911.68213333332	9076.07199999993	8480.9813333333
"pos_563"	0	0	0	0	20270.8188000001	20625.11776	0	1381.40640000003	29541.1952999999	28623.1655999998	23191.3521	21351.9808000002	0	0	14072.2848	11465.5549090909
"pos_565"	0	0	231.472168421052	379.542315789475	8358.3949090909	6857.61524999997	3542.36297142857	2936.09920000001	7723.74399999999	0	679.48547368421	657.867999999997	0	0	1357.84493333333	4637.08269473683
"pos_566"	0	0	0	0	3329.70000000002	4012.5792	6422.0069052632	6643.79142857143	7168.61551304348	5742.66467368422	0	0	6485.85199999997	6219.02159999997	0	0
"pos_571"	3311.7532235294	0	0	0	6182.73791999999	7032.47324444445	9067.79104615386	0	6468.54218181818	4721.3595	8262.68571428573	8295.56022857145	0	0	4744.23299999999	5567.679
"pos_575"	9136.63619999998	11931.7576363636	0	0	0	6733.584	0	8707.68767999999	10379.9216347826	0	8946.08063999988	8676.94464	0	3229.44000000002	7866.17426086953	7926.50116363635
"pos_576"	21618.9	20881.059536842	0	0	20801.84784	0	10811.896	11401.6999999999	23138.1517241379	22436.0054068965	0	0	0	0	0	13987.8179999999
"pos_581"	4171.25400000001	5121.27085714285	3428.80909090913	4294.72800000002	0	0	0	3070.91999999988	3229.78628571437	2389.15000000001	0	0	3702.90299999994	4632.96240000014	5005.69714285703	8005.31935135134
"pos_585"	19508.0769230768	23866.2592941177	0	0	35707.7561647059	33856.8164999999	16929.4238608696	21384.6545454545	42560.4538999998	50887.4666823528	0	0	0	0	0	0
"pos_586"	3178.70759999998	1983.02133333336	353.840200000001	369.929999999999	1718.33120000001	1531.45832727273	2360.6026909091	0	2303.14288000002	2339.30279999999	1438.44640000001	2018.09999999998	6628.98857142862	0	6596.43286153847	5658.50676923077
"pos_588"	7712.58000000002	7265.97419999992	7134.11060869579	7055.91288888876	7067.84600000002	7232.20977777765	6856.24355555554	7228.37634782616	7116.26880000005	7103.30086956502	6992.33142857148	6746.66763636355	7078.79111111116	7209.19999999994	7180.69090909085	6754.14000000005
"pos_589"	0	4375.15488000009	0	0	3630.65236363636	3428.51582608702	4133.99368421059	3968.33710344822	3694.24688372095	4267.9734545454	3899.15499999997	3000.3763636364	3447.10600000001	4239.26999999995	3124.43500000006	4561.58400000004
"pos_590"	2980.3495384616	2084.52857142857	2157.44973913041	1971.90327272731	2256.18788571423	1847.43410526315	2283.883826087	2040.8116363637	1702.34999999994	2402.33236363641	2286.65454545452	2356.38000000003	2844.20047058827	2189.89257142861	2393.00914285711	2276.56914285714
"pos_591"	0	2184.85309090909	0	0	1491.27936000001	2225.08173913037	2088.78499999998	1826.76872727273	2225.2153846154	1456.37199999992	2650.84338461544	0	1770.3663157895	2533.98000000002	0	1856.5600000001
