"pos_05_Brarut_1.A.6_01_7401"	"pos_10_Brarut_1.B.3_01_7408"	"pos_15_Calcus_1.B.8_01_7415"	"pos_17_Calcus_1.C.2_01_7417"	"pos_01_Fistax_1.A.2_01_7396"	"pos_02_Fistax_1.A.3_01_7398"	"pos_04_Gripul_1.A.5_01_7400"	"pos_23_Gripul_1.C.8_01_7425"	"pos_09_Hypcup_1.B.2_01_7407"	"pos_21_Hypcup_1.C.6_01_7421"	"pos_25_Marpol_1.D.2_01_7427"	"pos_26_Marpol_1.D.3_01_7428"	"pos_12_Plaund_1.B.5_01_7410"	"pos_13_Plaund_1.B.6_01_7411"	"pos_06_Polstr_1.A.7_01_7402"	"pos_07_Polstr_1.A.8_01_7403"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.711565	0	8.951213	9.879432	0	0	6.926918	7.910866	7.091223	7.232722	0	0	0	8.557108	7.745148	7.635675
0	0	8.36632	0	9.164749	0	8.596435	8.294105	8.123964	8.303447	0	0	9.817786	9.641919	8.450715	8.251282
7.716379	7.469789	7.340119	7.260968	7.366621	7.226918	7.173627	7.229208	7.408484	7.408601	7.319718	7.436381	7.395677	7.55499	7.356542	7.300759
8.73634	8.013634	8.101353	7.541662	6.718491	7.485483	8.122791	7.375466	8.20347	7.657631	8.120821	7.321398	7.494768	7.428747	7.991442	8.577532
8.422334	9.007535	7.937369	7.725913	6.473702	8.835954	8.287073	8.291199	8.671595	9.273712	7.955775	9.191505	8.777171	8.999269	8.616212	8.738982
8.07967	8.119511	8.245271	8.15843	7.940078	8.086844	8.477231	8.199722	8.369521	8.171339	7.431139	7.943556	8.161503	8.230458	8.63302	7.4914
8.128315	8.431595	8.171909	8.292848	7.864572	7.560121	8.276391	8.192411	7.205984	8.472993	8.14965	7.967128	8.120239	7.736384	8.38567	8.672715
7.577615	7.905275	7.331359	7.783254	7.163543	8.091736	7.999335	8.042218	9.107266	8.282274	7.031133	7.838297	7.256278	6.673737	8.167839	8.275246
7.726357	8.70698	7.784699	8.578642	8.305889	8.316718	7.941098	6.780667	8.769106	8.374571	6.949085	9.533727	11.319916	10.556646	8.288342	0
7.119208	7.596292	8.451228	7.11949	7.377989	7.429602	7.703394	6.934872	7.41892	7.320579	7.412247	7.745809	8.336079	8.510995	7.770967	6.766959
8.640771	9.419942	8.279865	9.497101	8.200631	8.370924	8.032716	9.101498	9.080342	9.966707	8.785952	8.999447	9.002016	8.654093	8.897346	8.880333
0	5.351896	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.387214	9.963973	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.135803	6.948272	0	0	8.675212	8.639918	0	0	6.194862	0	7.580776	7.699929	0	0	0	7.351245
